646,10,2.03,
646,10,1.23,
-1,-1,1.7210464,2023-08-01 16:24:05.7978341 -0400 EDT m=+10.938302601->adb shell input swipe 690 450 690 400 100
-1,-1,3.4941059,2023-08-01 16:24:07.5708938 -0400 EDT m=+12.711362101->adb shell input swipe 690 450 690 400 100
1001,44,6.49,
-1,-1,1.9471127,2023-08-01 16:24:12.839353 -0400 EDT m=+17.979820801->adb shell input swipe 690 450 690 400 100
-1,-1,4.9232871,2023-08-01 16:24:15.8155277 -0400 EDT m=+20.955995201->adb shell input swipe 690 450 690 400 100
121,500,6.60,
169,530,1.28,
898,512,0.04,
898,512,0.46,
890,520,0.33,
893,520,0.04,
898,506,0.54,
898,500,0.10,
905,500,2.06,
998,23,3.00,
999,31,2.01,
-1,-1,3.3097792,2023-08-01 16:25:57.5428618 -0400 EDT m=+17.150433401->adb shell input swipe 690 450 690 400 100
-1,-1,4.9092601,2023-08-01 16:25:59.1423427 -0400 EDT m=+18.749914301->adb shell input swipe 690 450 690 400 100
999,31,8.16,
121,503,1.41,
227,226,0.75,
357,392,0.14,
184,291,0.99,
31,43,0.51,
190,393,0.70,
31,46,0.45,
-1,-1,1.006922,2023-08-01 16:26:10.8656397 -0400 EDT m=+30.473211301->adb shell input swipe 690 450 690 400 100
236,293,3.64,
906,501,1.53,
990,39,1.31,
-1,-1,0.6867753,Tue Aug  1 16:44:34 EDT 2023->adb shell input swipe 690 450 690 400 100
992,66,3.58,
-1,-1,0.7662641,Tue Aug  1 16:44:38 EDT 2023->adb shell input swipe 690 450 690 400 100
-1,-1,2.4747776,Tue Aug  1 16:44:40 EDT 2023->adb shell input swipe 690 450 690 400 100
992,66,5.59,
-1,-1,1.403779,Tue Aug  1 16:44:45 EDT 2023->adb shell input swipe 690 450 690 400 100
128,507,3.85,
898,518,1.18,
894,505,1.23,
40,42,1.11,
183,340,1.18,
19,64,0.93,
-1,-1,1.7375538000000001,Tue Aug  1 16:44:57 EDT 2023->adb shell input swipe 690 450 690 400 100
171,268,4.80,
902,527,0.27,
911,510,0.39,
901,505,3.99,
988,41,1.59,
600,49,0.82,
600,49,1.57,
-1,-1,1.3898883,Tue Aug  1 16:47:03 EDT 2023->adb shell input swipe 690 450 690 400 100
-1,-1,3.5018554,Tue Aug  1 16:47:05 EDT 2023->adb shell input swipe 690 450 690 400 100
993,34,6.44,
133,505,1.63,
-1,-1,0.6083053,Tue Aug  1 16:47:11 EDT 2023->adb shell input swipe 690 450 690 400 100
270,326,3.16,
901,519,0.58,
929,519,0.05,
929,519,0.23,
898,519,0.12,
898,519,0.34,
-1,-1,0.9543834,Tue Aug  1 16:47:17 EDT 2023->adb shell input swipe 690 450 690 400 100
899,506,3.04,
988,59,1.46,
315,56,1.07,
543,18,1.53,
543,18,0.68,
991,14,3.13,
998,95,0.21,
998,45,1.22,
558,67,2.26,
558,67,1.28,
523,186,0.56,
146,321,0.05,
146,321,0.58,
44,62,0.45,
264,339,0.46,
26,71,0.34,
24,69,1.42,
-1,-1,1.4362002,Tue Aug  1 16:49:19 EDT 2023->adb shell input swipe 690 450 690 400 100
-1,-1,3.5936149,Tue Aug  1 16:49:21 EDT 2023->adb shell input swipe 690 450 690 400 100
-1,-1,7.0785665,Tue Aug  1 16:49:24 EDT 2023->adb shell input swipe 690 450 690 400 100
990,50,9.20,
174,511,1.40,
134,511,0.16,
134,511,0.29,
122,498,0.10,
122,498,1.23,
160,332,0.11,
160,332,1.00,
904,342,0.16,
904,342,0.54,
-1,-1,1.7121537999999998,Tue Aug  1 16:49:35 EDT 2023->adb shell input swipe 690 450 690 400 100
911,318,4.68,
901,515,0.45,
907,515,0.05,
907,515,0.40,
904,528,0.05,
904,528,0.34,
898,517,0.27,
902,514,0.33,
906,505,0.12,
906,505,0.10,
908,510,1.83,
992,39,1.17,
