993,72,1.79, 
-1,-1,-1,adb shell input swipe 690 450 690 400 100
993,72,5.91, 
904,496,0.39, 
907,503,1.66, 
37,33,1.46, 
911,493,0.28, 
913,483,0.15, 
913,483,0.21, 
918,494,0.45, 
180,277,0.22, 
295,276,0.16, 
415,274,0.20, 
570,295,0.15, 
750,296,0.15, 
877,268,0.26, 
725,439,0.15, 
463,438,0.21, 
304,423,0.32, 
155,416,0.15, 
586,436,0.14, 
896,276,0.22, 
768,426,0.21, 
634,296,0.22, 
467,450,0.20, 
279,306,0.33, 
154,305,2.20, 
-1,-1,-1,adb shell input swipe 690 450 690 400 100
41,76,5.31, 
986,33,3.89, 
