163,173,0.52,
376,172,0.63,
280,188,0.47,
286,241,0.41,
DT 2023->adb shell input swipe 690 450 690 400 100
1001,31,11.99,
164,401,2.23,
768,220,0.40,
770,513,0.28,
754,508,0.52,
926,512,6.39,
943,61,9.87,
68,0.77,
295,269,0.28,
427,272,0.11,
585,271,0.11,
731,268,0.16,
860,286,0.10,
881,426,0.11,
761,413,0.16,
583,436,0.10,
452,417,0.17,
319,420,0.17,
157,291,0.10,
302,266,0.11,
602,262,0.16,
722,265,0.12,
859,279,0.16,
879,414,0.06,
745,437,0.10,
562,404,0.15,
445,417,0.16,
281,416,2.15,
986,40,0.11,
986,40,3.38,
-1,-1,2,Fri Oct  6 11:22:43 EDT 2023->adb shell input swipe 690 450 690 400 100
-1,-1,2,Fri Oct  6 11:22:44 EDT 2023->adb shell input swipe 690 450 690 400 100
-1,-1,2,Fri Oct  6 11:22:47 EDT 2023->adb shell input swipe 690 450 690 400 100
-1,-1,2,Fri Oct  6 11:22:48 EDT 2023->adb shell input swipe 690 450 690 400 100
.52,
420,389,0.53,
328,393,0.57,
699,383,0.86,
333,509,0.67,
564,322,0.65,
875,319,0.81,
967,191,1.26,
740,290,4.71,
938,537,0.83,
910,543,0.71,
891,539,2.50,
661,35,1.03,
5,
134,366,0.89,
23,42,0.11,
23,42,0.88,
127,283,0.17,
127,283,1.13,
27,54,0.04,
27,54,1.19,
138,204,0.04,
138,204,1.96,
981,52,0.04,
981,52,0.97,
668,402,0.04,
668,402,0.88,
886,562,0.04,
886,562,0.58,
924,587,0.70,
903,561,0.63,
917,568,0.63,
902,570,1.71,
